stockorg_code,sku_code,dt,begin_stock_qty,demand_qty,production_qty,trans_in_qty,trans_out_qty,safety_stock_qty,todo_qty,end_stock_qty
warehouse.LSA,31010010013000024,2024-04-01,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
warehouse.XDF,31016400002000000,2024-04-01,17.921,10.358,0.000,2.187,0.000,0.000,0.000,9.750
warehouse.GDC,31010030187240200,2024-04-01,705.124,1707.270,1707.270,0.000,0.000,0.000,1002.146,0.000
warehouse.SHC,31710000029000000,2024-04-01,8.400,16.000,0.000,16.471,0.000,0.000,0.000,8.871
warehouse.FSF,31522220039240414,2024-04-01,5.910,0.000,0.000,0.000,0.000,0.000,0.000,5.910
warehouse.HBA,31011834479205501,2024-04-01,29.466,0.000,0.000,0.000,0.000,0.000,0.000,29.466
warehouse.HSF,31716450014000000,2024-04-01,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
warehouse.WHC,31010900016000001,2024-04-01,14.653,0.000,0.000,0.000,0.000,0.000,0.000,14.653
warehouse.BHC,31010060020000000,2024-04-01,1.984,157.850,157.850,0.000,0.000,0.000,155.866,0.000
warehouse.YCF,31728040031000001,2024-04-01,153.140,484.110,484.110,0.000,1004.759,0.000,1335.729,0.000
warehouse.NJD,31014980005000000,2024-04-01,8.840,32.480,0.000,32.374,0.000,0.000,0.000,8.734
warehouse.PJC,31716450014000000,2024-04-01,3.780,0.250,0.000,0.000,0.000,0.000,0.000,3.530
warehouse.HRA,31A10008457000000,2024-04-01,0.515,0.000,0.000,0.000,0.000,0.000,0.000,0.515
warehouse.BZC,31010240019000000,2024-04-01,20.857,14.550,0.000,4.111,0.000,0.000,0.000,10.418
warehouse.YCD,31010210035000000,2024-04-01,19.452,12.180,0.000,0.000,0.000,0.000,0.000,7.272
warehouse.QNC,31726050015000000,2024-04-01,5.785,25.470,0.000,19.685,0.000,0.000,0.000,0.000
warehouse.SXX,31716450004000000,2024-04-01,77.124,61.000,0.000,31.457,0.000,0.000,0.000,47.581
warehouse.HRA,31726050008180501,2024-04-01,0.756,0.000,0.000,0.000,0.000,0.000,0.000,0.756
warehouse.SZC,31010150045110600,2024-04-01,32.118,30.000,0.000,0.000,0.000,0.000,0.000,2.118
warehouse.GSC,31014207623000001,2024-04-01,110.551,240.000,240.000,0.000,0.000,0.000,129.449,0.000
warehouse.HND,31010010202000000,2024-04-01,3.276,5.200,0.000,1.924,0.000,0.000,0.000,0.000
warehouse.QJC,31010010003000000,2024-04-01,46.562,216.161,216.161,0.000,115.747,0.000,285.346,0.000
warehouse.QNC,31710000068000000,2024-04-01,31.600,0.000,0.000,0.000,0.000,0.000,0.000,31.600
warehouse.WHC,31A10000006000000,2024-04-01,5.655,0.000,0.000,0.000,23.051,0.000,17.397,0.000
warehouse.LSA,31524700002000000,2024-04-01,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
warehouse.HBA,31010051537000000,2024-04-01,5.258,265.970,265.970,0.000,297.913,0.000,558.625,0.000
warehouse.JLC,31011360074180400,2024-04-01,630.376,2813.540,2813.540,0.000,0.000,0.000,2183.164,0.000
warehouse.YTF,31710000021000000,2024-04-01,0.752,2.380,0.000,4.120,0.000,0.000,0.000,2.492
warehouse.FSF,31010647748150103,2024-04-01,2.153,3.880,0.000,1.727,0.000,0.000,0.000,0.000
warehouse.HND,31726050053150101,2024-04-01,0.004,0.000,0.000,0.000,0.000,0.000,0.000,0.004
warehouse.TZA,31010037484000000,2024-04-01,1.128,8.000,0.000,6.872,0.000,0.000,0.000,0.000
warehouse.JLC,31015854249180400,2024-04-01,13.320,24.650,0.000,21.648,0.000,0.000,0.000,10.318
warehouse.JLC,31011360061000000,2024-04-01,39.308,8.310,8.310,0.000,0.000,0.000,0.000,30.998
warehouse.DDC,31726050009172100,2024-04-01,0.850,0.000,0.000,0.000,0.000,0.000,0.000,0.850
warehouse.LSA,31010030204000000,2024-04-01,66.948,126.480,126.480,0.000,4.789,0.000,64.321,0.000
warehouse.SXX,31015830016000000,2024-04-01,6.170,0.000,0.000,0.000,0.000,0.000,0.000,6.170
warehouse.XXF,31010083598000000,2024-04-01,12.489,8.270,8.270,0.000,0.000,0.000,0.000,4.219
warehouse.CYF,31A10000004000000,2024-04-01,0.655,0.000,0.000,0.000,0.000,0.000,0.000,0.655
warehouse.CYF,31010010013175100,2024-04-01,7.690,13.950,0.000,6.260,0.000,0.000,0.000,0.000
warehouse.LSA,31010010013000035,2024-04-01,132.752,437.880,0.000,361.983,0.000,0.000,0.000,56.856
warehouse.JLC,31015830007171000,2024-04-01,4.816,24.270,0.000,21.458,0.000,0.000,0.000,2.003
warehouse.GDC,31010900016000000,2024-04-01,138.822,287.758,0.000,308.025,0.000,0.000,0.000,159.090
warehouse.BBD,31016390006000000,2024-04-01,11.825,9.010,9.010,0.000,0.000,0.000,0.000,2.815
warehouse.WHC,31020170002110200,2024-04-01,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
warehouse.WHC,31010081163000000,2024-04-01,50.926,0.000,0.000,0.000,0.000,0.000,0.000,50.926
warehouse.GDC,31016000001000000,2024-04-01,1.884,9.600,0.000,7.716,0.000,0.000,0.000,0.000
warehouse.JSA,31716450023000000,2024-04-01,1.410,67.200,67.200,0.000,322.748,0.000,388.538,0.000
warehouse.NXF,31010010003171000,2024-04-01,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
warehouse.GXC,31710000026000000,2024-04-01,13.948,7.600,0.000,15.700,0.000,0.000,0.000,22.048
warehouse.LCA,31455370004000000,2024-04-01,4.473,1.600,0.000,0.000,0.000,0.000,0.000,2.873
warehouse.HBA,31010485206205401,2024-04-01,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
warehouse.HBA,31010240013171000,2024-04-01,0.082,0.500,0.000,0.418,0.000,0.000,0.000,0.000
warehouse.QJC,31716450009000000,2024-04-01,8.400,6.000,0.000,2.439,0.000,0.000,0.000,4.839
warehouse.SSF,31010080215242310,2024-04-01,49.749,224.960,224.960,0.000,0.000,0.000,175.211,0.000
warehouse.NXF,31457020001000000,2024-04-01,0.280,0.000,0.000,0.000,0.000,0.000,0.000,0.280
warehouse.LSA,31010055976000027,2024-04-01,1.284,12.000,0.000,10.716,0.000,0.000,0.000,0.000
warehouse.FYC,31341450006000000,2024-04-01,30.000,17.000,17.000,0.000,0.000,0.000,0.000,13.000
warehouse.WZC,31963010002000000,2024-04-01,26.400,0.000,0.000,0.000,0.000,0.000,0.000,26.400
warehouse.HBA,31010053146230046,2024-04-01,0.444,0.000,0.000,0.000,167.393,0.000,166.949,0.000
warehouse.HSF,31726058202150101,2024-04-01,19.910,0.000,0.000,0.000,0.000,0.000,0.000,19.910
warehouse.SHC,31010080017120111,2024-04-01,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
warehouse.NJD,31010051856000000,2024-04-01,273.560,685.790,685.790,0.000,0.000,0.000,412.230,0.000
warehouse.ZYC,31726057537000000,2024-04-01,24.409,0.000,0.000,0.000,0.000,0.000,0.000,24.409
warehouse.LSA,31A10000009000000,2024-04-01,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
warehouse.LSD,31015830011000000,2024-04-01,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
warehouse.JLC,31010070016180100,2024-04-01,30.168,242.540,242.540,0.000,0.000,0.000,212.372,0.000
warehouse.XDF,31456720003000000,2024-04-01,0.000,0.238,0.000,0.238,0.000,0.000,0.000,0.000
warehouse.LSD,31016860001000002,2024-04-01,563.808,198.120,198.120,0.000,0.000,0.000,0.000,365.688
warehouse.FYC,31010000171130502,2024-04-01,1234.412,2765.050,2765.050,0.000,0.000,0.000,1530.638,0.000
warehouse.MYA,31010900016000000,2024-04-01,32.870,45.290,0.000,40.832,0.000,0.000,0.000,28.412
warehouse.BHC,31010000220000000,2024-04-01,134.772,74.690,74.690,0.000,0.000,0.000,0.000,60.082
warehouse.HBA,31013070017000000,2024-04-01,103.966,194.480,194.480,0.000,53.246,0.000,143.760,0.000
warehouse.BBD,31010050024000000,2024-04-01,90.549,397.600,397.600,0.000,0.000,0.000,307.051,0.000
warehouse.QNC,31010055173000000,2024-04-01,12.000,8.000,0.000,0.000,0.000,0.000,0.000,4.000
warehouse.HBA,31790006254000000,2024-04-01,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
warehouse.XZC,31010051402190005,2024-04-01,5.268,366.700,366.700,0.000,0.000,0.000,361.432,0.000
warehouse.XDF,31726058202150101,2024-04-01,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
warehouse.NJA,31726050011000000,2024-04-01,0.118,0.000,0.000,0.000,0.000,0.000,0.000,0.118
warehouse.JLC,31016620001000000,2024-04-01,42.630,60.590,60.590,0.000,0.000,0.000,17.960,0.000
warehouse.LSA,31010960006000000,2024-04-01,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
warehouse.HBA,31010020002000000,2024-04-01,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
warehouse.WHC,31015830034000000,2024-04-01,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
warehouse.HFC,31730000005000000,2024-04-01,0.960,0.660,0.000,0.000,0.000,0.000,0.000,0.300
warehouse.GAA,31726050009000000,2024-04-01,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
